	NAME	LATITUDE	LONGITUDE
91	HERITAGE CHRISTIAN SCHOOL	41.686800978	-72.940509952
92	INTENSIVE EDUCATION ACADEMY IN	41.790224691	-72.746388864
93	KINGSWOOD-OXFORD SCHOOL	41.758134469	-72.735560758
94	MISS PORTER'S SCHOOL	41.723480307	-72.829252421
95	MONTESSORI SCHOOL GREATER HARTFORD	41.77095298	-72.747250815
96	NEW TESTAMENT BAPTIST CHURCH SCHOOL	41.768188232	-72.655439328
97	NORTHWEST CATHOLIC HIGH SCHOOL	41.799504649	-72.753278016
98	PRAISE POWER & PRAYER CHRISTIAN SCHOOL	41.867912404	-72.637397001
99	RAYMOND HILL SCHOOL	41.651394556	-72.788631161
100	SACRED HEART SCHOOL	41.67194303	-72.788618399
101	SOLOMON SCHECHTER DAY SCHOOL	41.751216094	-72.76589778
102	ST ANTHONY SCHOOL	41.670333961	-72.94629452
103	ST BERNARD SCHOOL	41.986578352	-72.599429125
104	ST BRIDGET SCHOOL	41.791169467	-72.525418918
105	ST BRIGID SCHOOL	41.736078028	-72.735876565
106	ST GABRIEL SCHOOL	41.852196291	-72.648010916
107	ST JOSEPH SCHOOL	41.67754626	-72.938679675
108	ST MATTHEW SCHOOL	41.674692258	-72.902949898
109	ST MATTHEWS LUTHERAN SCHOOL	41.662092336	-72.780601718
110	ST PAUL SCHOOL	41.634532379	-72.771342223
111	SOUTHINGTON CATHOLIC SCHOOL	41.595867061	-72.882042838
112	ST TIMOTHY MIDDLE SCHOOL	41.800899568	-72.747699575
113	TALCOTT MOUNTAIN ACADEMY OF SCIENCE MATHEMATICS	41.811543827	-72.797893618
114	THE BESS & PAUL SIGEL HEBREW ACADEMY	41.826735583	-72.743235477
115	THE COBB SCHOOL MONTESSORI	41.851104375	-72.833608514
116	THE CORNERSTONE CHRISTIAN SCHOOL	41.786183052	-72.525873217
117	TRINITY CHRISTIAN SCHOOL	41.839195011	-72.662470623
118	WINDSOR MONTESSORI SCHOOL	41.857811928	-72.635207072
119	SMALL STEPS NURTURING CENTER - JENSEN	29.788456919	-95.341571063
120	SNYDER CHRISTIAN SCHOOL	32.714663563	-100.917760822
